,player,team,line,stat,league,date,time
1304,Puka Nacua,Weeks 6-9,1.5,Rec TDs,263,2023-10-12,2023-10-11 13:51:00
1305,Brock Purdy,CLE,238.5,Pass Yards,9,2023-10-15,2023-10-11 13:51:00
1306,Brandon Aiyuk,CLE,57.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1307,Amari Cooper,SF,59.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1308,Deebo Samuel,CLE,47.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1309,George Kittle,CLE,40.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1310,C.J. Stroud,NO,242.5,Pass Yards,9,2023-10-15,2023-10-11 13:51:00
1311,Auston Matthews,MTL,4.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1312,Brendan Gallagher,TOR,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1313,Auston Matthews,MTL,1.5,PTS,8,2023-10-11,2023-10-11 13:51:00
1314,Alvin Kamara,HOU,68.5,Rush Yards,9,2023-10-15,2023-10-11 13:51:00
1315,John Tavares,MTL,3.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1316,Cole Caufield,TOR,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1317,Michael Matheson,TOR,0.5,PTS,8,2023-10-11,2023-10-11 13:51:00
1318,Dameon Pierce,NO,54.5,Rush Yards,9,2023-10-15,2023-10-11 13:51:00
1319,Teuvo Teravainen,OTT,0.5,PTS,8,2023-10-11,2023-10-11 13:51:00
1320,Mitch Marner,MTL,2.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1321,Josh Anderson,TOR,2.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1322,Connor Bedard,BOS,0.5,PTS,8,2023-10-11,2023-10-11 13:51:00
1323,Morgan Rielly,MTL,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1324,Phillip Danault,COL,0.5,PTS,8,2023-10-11,2023-10-11 13:51:00
1325,Michael Matheson,TOR,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1326,Jonathan Huberdeau,WPG,0.5,PTS,8,2023-10-11,2023-10-11 13:51:00
1327,Mark Scheifele,CGY,0.5,PTS,8,2023-10-11,2023-10-11 13:51:00
1328,Tyler Bertuzzi,MTL,2.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1329,Sean Monahan,TOR,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1330,Michael Thomas,HOU,55.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1331,William Nylander,MTL,4.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1332,Brady Skjei,OTT,2.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1333,Brady Tkachuk,CAR,3.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1334,Brent Burns,OTT,3.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1335,Claude Giroux,CAR,2.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1336,Drake Batherson,CAR,2.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1337,Seth Jarvis,OTT,2.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1338,Jakob Chychrun,CAR,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1339,Martin Necas,OTT,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1340,Tim Stutzle,CAR,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
